SYN ID	SYN POS	SYN	SYN TERMS	CONFIDENCE SCORE	GLOSS
91311	a	Synset('alert.a.01')	"['alert', 'watchful']"	1	engaged in or accustomed to close observation
91764	s	Synset('argus-eyed.s.02')	"['argus-eyed', 'open-eyed', 'vigilant', 'wakeful']"	1	carefully observant or attentive; on the lookout for possible danger
94448	a	Synset('alive.a.01')	"['alive', 'live']"	1	possessing life
101609	a	Synset('altruistic.a.01')	"['altruistic', 'selfless']"	1	showing unselfish concern for the welfare of others
105746	a	Synset('ample.a.01')	['ample']	1	more than enough in size or scope or capacity
106020	s	Synset('full.s.06')	"['full', 'good']"	1	having the normally expected amount
110497	a	Synset('analogue.a.01')	"['analogue', 'analog', 'linear']"	1	of a circuit or device having an output that is proportional to the input
110853	a	Synset('analytic.a.04')	"['analytic', 'analytical']"	1	of a proposition that is necessarily true independent of fact or experience
111856	a	Synset('synthetic.a.03')	['synthetic']	1	systematic combining of root and modifying elements into single words
112018	s	Synset('agglutinative.s.01')	"['agglutinative', 'polysynthetic']"	1	forming derivative or compound words by putting together constituents each of which expresses a single definite meaning
117385	a	Synset('sentient.a.01')	"['sentient', 'animate']"	1	endowed with feeling and unstructured consciousness
117654	s	Synset('sensate.s.01')	['sensate']	1	having physical sensation
118066	a	Synset('animate.a.02')	['animate']	1	endowed with animal life as distinguished from plant life
118567	a	Synset('animated.a.01')	"['animated', 'alive']"	1	having life or vigor or spirit
121376	s	Synset('pseudonymous.s.01')	['pseudonymous']	1	bearing or identified by an assumed (often pen) name
121865	a	Synset('antecedent.a.01')	['antecedent']	1	preceding in time or order
122844	s	Synset('attendant.s.02')	"['attendant', 'consequent', 'accompanying', 'concomitant', 'incidental', 'ensuant', 'resultant', 'sequent']"	1	following or accompanying as a consequence
125711	a	Synset('preceding.a.01')	['preceding']	1	existing or coming before
125993	s	Synset('above.s.01')	['above']	1	appearing earlier in the same text
126116	s	Synset('above-mentioned.s.01')	"['above-mentioned', 'above-named']"	1	mentioned or named earlier in the same text
126830	s	Synset('preparatory.s.01')	"['preparatory', 'preparative', 'propaedeutic']"	1	preceding and preparing for something
130778	a	Synset('anterior.a.01')	['anterior']	1	of or near the head end or toward the front plane of a body
131176	s	Synset('frontal.s.04')	['frontal']	1	of or adjacent to the forehead or frontal bone
132127	a	Synset('dorsal.a.01')	['dorsal']	1	belonging to or on or near the back or upper surface of an animal or organ or part
134060	a	Synset('approachable.a.02')	['approachable']	1	easy to meet or converse or do business with
134251	s	Synset('accessible.s.04')	['accessible']	1	easy to get along with or talk to; friendly
134701	a	Synset('appropriate.a.01')	['appropriate']	1	suitable for a particular person or place or condition etc
135455	s	Synset('proper.s.04')	"['proper', 'right']"	1	"appropriate for a condition or purpose or occasion or a person's character, needs"
136354	a	Synset('due.a.01')	['due']	1	owed and payable immediately or on demand
136589	s	Synset('callable.s.01')	['callable']	1	subject to a demand for payment before due date
136727	s	Synset('collect.s.01')	"['collect', 'cod']"	1	payable by the recipient on delivery
136884	s	Synset('collectible.s.01')	"['collectible', 'collectable', 'payable']"	1	subject to or requiring payment especially as specified
137120	s	Synset('delinquent.s.03')	"['delinquent', 'overdue']"	1	past due; not paid at the scheduled time
137277	s	Synset('receivable.s.01')	['receivable']	1	awaiting payment
137373	s	Synset('out-of-pocket.s.01')	['out-of-pocket']	1	calling for the spending of cash
137501	s	Synset('repayable.s.01')	['repayable']	1	subject to repayment
137725	a	Synset('due.a.03')	['due']	1	suitable to or expected in the circumstances
138912	a	Synset('a_priori.a.01')	['a_priori']	1	involving deductive reasoning from a general principle to a necessary effect; not supported by fact
140233	a	Synset('arbitrable.a.01')	['arbitrable']	1	appropriate for or subject to settlement by arbitration
145083	s	Synset('barbed.s.02')	"['barbed', 'barbellate', 'briary', 'briery', 'bristled', 'bristly', 'burred', 'burry', 'prickly', 'setose', 'setaceous', 'spiny', 'thorny']"	1	having or covered with protective barbs or quills or spines or thorns or setae etc.
150505	s	Synset('eloquent.s.01')	"['eloquent', 'facile', 'fluent', 'silver', 'silver-tongued', 'smooth-spoken']"	1	"expressing yourself readily, clearly, effectively"
153410	a	Synset('articulated.a.01')	"['articulated', 'articulate']"	1	consisting of segments held together by joints
153545	s	Synset('jointed.s.01')	['jointed']	1	having joints or jointed segments; 
156101	a	Synset('assertive.a.01')	"['assertive', 'self-asserting', 'self-assertive']"	1	aggressively self-assured
163592	a	Synset('attentive.a.01')	['attentive']	1	(often followed by `to') giving care or attention
163948	s	Synset('captive.s.02')	"['captive', 'absorbed', 'engrossed', 'enwrapped', 'intent', 'wrapped']"	1	giving or marked by complete attention to
164308	s	Synset('advertent.s.01')	"['advertent', 'heedful']"	1	giving attention
164462	s	Synset('observant.s.01')	['observant']	1	paying close attention especially to details
164598	s	Synset('oversolicitous.s.01')	['oversolicitous']	1	excessively solicitous
164681	s	Synset('solicitous.s.02')	['solicitous']	1	showing hovering attentiveness
166146	a	Synset('attractive.a.01')	['attractive']	1	pleasing to the eye or mind especially through beauty or charm
166753	s	Synset('bewitching.s.01')	"['bewitching', 'captivating', 'enchanting', 'enthralling', 'entrancing', 'fascinating']"	1	capturing interest as if by a spell
167077	s	Synset('charismatic.s.01')	"['charismatic', 'magnetic']"	1	possessing an extraordinary ability to attract
167278	s	Synset('cunning.s.01')	"['cunning', 'cute']"	1	attractive especially by means of smallness or prettiness or quaintness
167520	s	Synset('dinky.s.02')	['dinky']	1	(British informal) pretty and neat
167671	s	Synset('engaging.s.01')	"['engaging', 'piquant']"	1	attracting or delighting
167829	s	Synset('fetching.s.01')	"['fetching', 'taking', 'winning']"	1	very attractive; capturing interest
168039	s	Synset('glossy.s.03')	"['glossy', 'showy']"	1	superficially attractive and stylish; suggesting wealth or expense
168188	s	Synset('hypnotic.s.02')	"['hypnotic', 'mesmeric', 'mesmerizing', 'spellbinding']"	1	attracting and holding interest as if by a spell
168551	s	Synset('irresistible.s.02')	['irresistible']	1	overpoweringly attractive
168694	s	Synset('personable.s.01')	['personable']	1	(of persons) pleasant in appearance and personality
168820	s	Synset('photogenic.s.01')	['photogenic']	1	looking attractive in photographs
168910	s	Synset('prepossessing.s.01')	['prepossessing']	1	creating a favorable impression
169056	s	Synset('winsome.s.01')	['winsome']	1	charming in a childlike or naive way
169955	a	Synset('attractive.a.03')	['attractive']	1	having the properties of a magnet; the ability to draw or pull; 
170358	a	Synset('appealing.a.01')	['appealing']	1	able to attract interest or draw favorable attention
170717	s	Synset('attention-getting.s.02')	"['attention-getting', 'catchy']"	1	likely to attract attention
170847	s	Synset('attractive.s.02')	['attractive']	1	having power to arouse interest
171590	a	Synset('attributable.a.01')	['attributable']	1	capable of being attributed
171872	s	Synset('ascribable.s.01')	"['ascribable', 'due', 'imputable', 'referable']"	1	capable of being assigned or credited to
172172	s	Synset('credited.s.01')	['credited']	1	(usually followed by `to') given credit for
172308	s	Synset('traceable.s.01')	['traceable']	1	(usually followed by `to') able to be traced to
176150	a	Synset('auspicious.a.01')	['auspicious']	1	auguring favorable circumstances and good luck
176387	s	Synset('bright.s.10')	"['bright', 'hopeful', 'promising']"	1	full or promise
176676	s	Synset('fortunate.s.03')	"['fortunate', 'rosy']"	1	presaging good fortune
177186	a	Synset('propitious.a.01')	['propitious']	1	presenting favorable circumstances; likely to result in or show signs of success
177547	s	Synset('golden.s.06')	"['golden', 'favorable', 'favourable', 'lucky', 'prosperous']"	1	presaging or likely to bring good luck
177834	s	Synset('gracious.s.04')	['gracious']	1	disposed to bestow favors
178575	a	Synset('authorized.a.01')	"['authorized', 'authorised']"	1	endowed with authority
183932	s	Synset('addressable.s.01')	['addressable']	1	capable of being addressed
184075	s	Synset('easy.s.11')	['easy']	1	less in demand and therefore readily obtainable
184676	s	Synset('lendable.s.01')	['lendable']	1	available for lending
186616	a	Synset('awake.a.01')	['awake']	1	not in a state of sleep; completely conscious
190115	a	Synset('aware.a.01')	"['aware', 'cognizant', 'cognisant']"	1	(sometimes followed by `of') having or showing knowledge or understanding or realization or perception
190653	s	Synset('alert.s.03')	"['alert', 'alive', 'awake']"	1	mentally perceptive and responsive
190960	s	Synset('conscious.s.03')	['conscious']	1	(followed by `of') showing realization or recognition of something
191265	s	Synset('sensible.s.04')	['sensible']	1	aware intuitively or intellectually of something sensed
196934	a	Synset('reassuring.a.01')	['reassuring']	1	restoring confidence and relieving anxiety
197319	s	Synset('comforting.s.02')	"['comforting', 'consolatory', 'consoling']"	1	affording comfort or solace
199114	s	Synset('directing.s.01')	"['directing', 'directional', 'directive', 'guiding']"	1	showing the way by conducting or leading; imposing direction on
199569	a	Synset('following.a.03')	['following']	1	going or proceeding or coming after in the same direction
199811	s	Synset('pursuing.s.01')	['pursuing']	1	following in order to overtake or capture or as accompaniment to such pursuit
202095	s	Synset('inverse.s.01')	"['inverse', 'reverse']"	1	reversed (turned backward) in order or nature or effect
209079	a	Synset('ferned.a.01')	"['ferned', 'ferny']"	1	abounding in or covered with ferns
209390	s	Synset('fernlike.s.01')	"['fernlike', 'ferny']"	1	resembling ferns especially in leaf shape
217728	a	Synset('beautiful.a.01')	['beautiful']	1	delighting the senses or exciting intellectual or emotional admiration
218305	s	Synset('beauteous.s.01')	['beauteous']	1	"(poetic )beautiful, especially to the sight"
218440	s	Synset('bonny.s.01')	"['bonny', 'bonnie', 'comely', 'fair', 'sightly']"	1	very pleasing to the eye
218673	s	Synset('dishy.s.01')	['dishy']	1	(informal British) sexually attractive
218837	s	Synset('exquisite.s.04')	['exquisite']	1	of extreme beauty
218950	s	Synset('fine-looking.s.01')	"['fine-looking', 'good-looking', 'better-looking', 'handsome', 'well-favored', 'well-favoured']"	1	pleasing in appearance especially by reason of conformity to ideals of form and proportion
219389	s	Synset('glorious.s.03')	"['glorious', 'resplendent', 'splendid', 'splendiferous']"	1	having great beauty and splendor
219705	s	Synset('gorgeous.s.01')	['gorgeous']	1	dazzlingly beautiful
219809	s	Synset('lovely.s.01')	['lovely']	1	appealing to the emotions as well as the eye
219924	s	Synset('picturesque.s.01')	['picturesque']	1	suggesting or suitable for a picture; pretty as a picture
220082	s	Synset('pretty.s.01')	['pretty']	1	pleasing by delicacy or grace; not imposing
220241	s	Synset('pretty-pretty.s.01')	['pretty-pretty']	1	ostentatiously or inappropriately pretty
220341	s	Synset('pulchritudinous.s.01')	['pulchritudinous']	1	used of persons only; having great physical beauty
220502	s	Synset('ravishing.s.01')	['ravishing']	1	stunningly beautiful
220600	s	Synset('scenic.s.01')	['scenic']	1	used of locations; having beautiful natural scenery
220739	s	Synset('stunning.s.04')	['stunning']	1	strikingly beautiful or attractive
223802	a	Synset('beneficent.a.01')	['beneficent']	1	doing or producing good
224031	s	Synset('benefic.s.01')	['benefic']	1	exerting a favorable or beneficent influence
226618	a	Synset('benign.a.02')	"['benign', 'benignant']"	1	pleasant and beneficial in nature or influence
226891	s	Synset('kindly.s.02')	['kindly']	1	pleasant and agreeable
227507	a	Synset('best.a.01')	['best']	1	(superlative of `good') having the most positive qualities
228025	s	Synset('champion.s.01')	"['champion', 'prizewinning']"	1	holding first place in a contest
228173	s	Synset('high-grade.s.01')	"['high-grade', 'top-quality', 'top-grade']"	1	surpassing in quality
228294	s	Synset('first.s.05')	"['first', 'foremost', 'world-class']"	1	ranking above all others
228485	s	Synset('go-to-meeting.s.01')	"['go-to-meeting', 'Sunday-go-to-meeting']"	1	used of clothing
228645	s	Synset('optimum.s.01')	"['optimum', 'optimal']"	1	most desirable possible under a restriction expressed or implied
228876	s	Synset('primo.s.01')	['primo']	1	the best of its kind
228967	s	Synset('record-breaking.s.01')	['record-breaking']	1	surpassing any previously established record
229130	s	Synset('second-best.s.01')	['second-best']	1	next to the best
229227	s	Synset('superfine.s.03')	['superfine']	1	(used especially of merchandise) very fine in quality
229371	s	Synset('unexcelled.s.01')	"['unexcelled', 'unexceeded', 'unsurpassed']"	1	not capable of being improved on
229487	s	Synset('unsurpassable.s.01')	['unsurpassable']	1	not to be exceeded
230335	a	Synset('better.a.01')	['better']	1	(comparative of `good') superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability; more highly skilled than another
230843	s	Synset('amended.s.02')	['amended']	1	modified for the better
230940	s	Synset('finer.s.01')	['finer']	1	(comparative of `fine') greater in quality or excellence
231103	s	Synset('improved.s.02')	['improved']	1	become or made better in quality
231761	a	Synset('better.a.02')	['better']	1	(comparative of `good') changed for the better in health or fitness
231963	s	Synset('fitter.s.01')	"['fitter', 'healthier']"	1	improved in health or physical condition
234872	a	Synset('faced.a.01')	['faced']	1	having a face or facing especially of a specified kind or number; often used in combination
236200	s	Synset('sweet-faced.s.01')	['sweet-faced']	1	having a pleasing face or one showing a sweet disposition
237240	a	Synset('multilateral.a.01')	"['multilateral', 'many-sided']"	1	having many parts or sides
237788	s	Synset('bilateral.s.03')	"['bilateral', 'two-sided']"	1	having two sides or parts
237881	s	Synset('deep-lobed.s.01')	['deep-lobed']	1	having deep bilateral lobes
237965	s	Synset('two-lobed.s.01')	['two-lobed']	1	having two lobes
238037	s	Synset('bipartite.s.02')	"['bipartite', 'two-part', 'two-way']"	1	involving two parts or elements
238189	s	Synset('joint.s.03')	['joint']	1	involving both houses of a legislature
238310	s	Synset('multipartite.s.01')	['multipartite']	1	involving more than two parties
238400	s	Synset('quadrilateral.s.01')	"['quadrilateral', 'four-sided']"	1	having four sides
238490	s	Synset('five-sided.s.01')	['five-sided']	1	having five sides
238564	s	Synset('six-sided.s.01')	['six-sided']	1	having six sides
238636	s	Synset('seven-sided.s.01')	['seven-sided']	1	having seven sides
238712	s	Synset('eight-sided.s.01')	['eight-sided']	1	having eight sides
238788	s	Synset('nine-sided.s.01')	['nine-sided']	1	having nine sides
238862	s	Synset('ten-sided.s.01')	['ten-sided']	1	having ten sides
238934	s	Synset('eleven-sided.s.01')	['eleven-sided']	1	having eleven sides
239012	s	Synset('twelve-sided.s.01')	['twelve-sided']	1	having twelve sides
239090	s	Synset('quadripartite.s.01')	"['quadripartite', 'four-party']"	1	involving four parties
239185	s	Synset('tetramerous.s.01')	['tetramerous']	1	having or consisting of four similar parts; tetramerous flowers
239325	s	Synset('three-cornered.s.02')	['three-cornered']	1	involving a group or set of three
239444	s	Synset('three-lobed.s.02')	['three-lobed']	1	having three lobes
239520	s	Synset('four-lobed.s.01')	['four-lobed']	1	having four lobes
239594	s	Synset('five-lobed.s.01')	['five-lobed']	1	having five lobes
239668	s	Synset('many-lobed.s.01')	['many-lobed']	1	having many lobes
239742	s	Synset('palmately-lobed.s.01')	['palmately-lobed']	1	having lobes radiating from a central point
239847	s	Synset('trilateral.s.02')	"['trilateral', 'triangular', 'three-sided']"	1	having three sides
240008	s	Synset('tripartite.s.01')	"['tripartite', 'three-party', 'three-way']"	1	involving three parties or elements
247013	a	Synset('unblemished.a.01')	"['unblemished', 'unmarred', 'unmutilated']"	1	free from physical or moral spots or stains
247247	s	Synset('stainless.s.01')	"['stainless', 'unstained', 'unsullied', 'untainted', 'untarnished']"	1	(of reputation) free from blemishes
252954	a	Synset('bound.a.01')	['bound']	1	confined by bonds
255057	a	Synset('tangled.a.01')	['tangled']	1	in a confused mass
255308	s	Synset('afoul.s.01')	"['afoul', 'foul', 'fouled']"	1	especially of a ship's lines etc
255453	s	Synset('enmeshed.s.01')	"['enmeshed', 'intermeshed']"	1	caught as if in a mesh
255582	s	Synset('entangled.s.02')	['entangled']	1	twisted together in a tangled mass
255720	s	Synset('knotty.s.04')	"['knotty', 'snarled', 'snarly']"	1	tangled in knots or snarls
255918	s	Synset('matted.s.01')	['matted']	1	tangled in a dense mass
256042	s	Synset('rootbound.s.02')	['rootbound']	1	having the roots matted or densely tangled
256237	s	Synset('thrown.s.02')	"['thrown', 'thrown_and_twisted']"	1	twisted together; as of filaments spun into a thread
256636	a	Synset('bound.a.03')	['bound']	1	secured with a cover or binding; often used as a combining form
257356	s	Synset('well-bound.s.01')	['well-bound']	1	(of books) having a sturdy and attractive binding
259568	a	Synset('lower-class.a.01')	"['lower-class', 'low-class']"	1	occupying the lowest socioeconomic position in a society
259957	s	Synset('proletarian.s.01')	['proletarian']	1	belonging to or characteristic of the proletariat
261245	a	Synset('upper-class.a.01')	['upper-class']	1	occupying the highest socioeconomic position in a society
261486	s	Synset('quality.s.02')	['quality']	1	of high social status
261885	s	Synset('tweedy.s.02')	['tweedy']	1	"(of country gentry) informal, clannish and outdoorsy"
262008	s	Synset('wellborn.s.01')	['wellborn']	1	of good or upper-class lineage
269989	a	Synset('light.a.06')	['light']	1	characterized by or emitting light
271022	s	Synset('bright.s.04')	['bright']	1	having lots of light either natural or artificial
271580	s	Synset('illuminated.s.01')	"['illuminated', 'lighted', 'lit', 'well-lighted']"	1	provided with artificial light
288070	s	Synset('dogmatic.s.01')	"['dogmatic', 'dogmatical']"	1	characterized by assertion of unproved or unprovable principles
288685	a	Synset('reconstructed.a.01')	['reconstructed']	1	adapted to social or economic change
290923	a	Synset('unbroken.a.01')	['unbroken']	0.5	marked by continuous or uninterrupted extension in space or time or sequence
291338	s	Synset('uninterrupted.s.01')	['uninterrupted']	1	having undisturbed continuity
291471	a	Synset('brotherly.a.01')	"['brotherly', 'brotherlike', 'fraternal']"	1	like or characteristic of or befitting a brother
291665	a	Synset('sisterly.a.01')	"['sisterly', 'sisterlike', 'sororal']"	1	like or characteristic of or befitting a sister
300738	a	Synset('euphonious.a.01')	"['euphonious', 'euphonous']"	1	having a pleasant sound
300943	s	Synset('golden.s.05')	['golden']	1	suggestive of gold
301032	s	Synset('silvern.s.01')	"['silvern', 'silvery']"	1	resembling or reminiscent of silver
302761	a	Synset('calm.a.02')	['calm']	1	(of weather) free from storm or wind
302951	s	Synset('placid.s.01')	"['placid', 'quiet', 'still', 'tranquil', 'smooth', 'unruffled']"	1	(of a body of water) free from disturbance by heavy waves
303480	s	Synset('settled.s.04')	['settled']	1	not changeable
303579	s	Synset('windless.s.01')	['windless']	1	without or almost without wind
309021	a	Synset('careful.a.01')	['careful']	0.333	exercising caution or showing care or attention
318942	a	Synset('censored.a.01')	['censored']	1	suppressed or subject to censorship
319090	s	Synset('expurgated.s.01')	['expurgated']	1	having material deleted
325840	s	Synset('fabian.s.02')	['fabian']	1	using cautious slow strategy to wear down opposition; avoiding direct confrontation
328528	a	Synset('coherent.a.03')	['coherent']	1	(physics) of waves having a constant phase relation
329396	a	Synset('porous.a.02')	"['porous', 'poriferous']"	1	full of pores or vessels or holes
329585	s	Synset('porose.s.01')	['porose']	1	forming a continuous series of pores
334940	s	Synset('consolidative.s.02')	"['consolidative', 'integrative']"	1	tending to consolidate
338817	a	Synset('confident.a.01')	['confident']	1	having or marked by confidence or assurance
344125	a	Synset('changeable.a.02')	"['changeable', 'changeful']"	1	such that alteration is possible; having a marked tendency to change
345494	s	Synset('fluid.s.01')	"['fluid', 'unstable']"	1	subject to change; variable
345694	s	Synset('fluid.s.05')	"['fluid', 'mobile']"	1	affording change (especially in social status)
346991	a	Synset('unchangeable.a.01')	['unchangeable']	1	not changeable or subject to change
347400	s	Synset('changeless.s.03')	"['changeless', 'unalterable']"	1	remaining the same for indefinitely long times
351523	a	Synset('adjusted.a.02')	['adjusted']	1	adjusted to demands of daily living; showing emotional stability
351679	s	Synset('well-adjusted.s.01')	"['well-adjusted', 'well-balanced']"	1	free from psychological disorder
355258	a	Synset('unchanged.a.01')	['unchanged']	1	not made or become different
355611	s	Synset('same.s.04')	['same']	1	unchanged in character or nature
356926	a	Synset('characteristic.a.01')	['characteristic']	1	typical or distinctive
357254	s	Synset('diagnostic.s.02')	"['diagnostic', 'symptomatic']"	1	characteristic or indicative of a disease
357556	s	Synset('distinctive.s.01')	"['distinctive', 'typical']"	1	of a feature that helps to distinguish a person or thing
357790	s	Synset('peculiar.s.04')	['peculiar']	1	characteristic of one only; distinctive or special
358132	a	Synset('charged.a.01')	['charged']	1	of a particle or body or system; having a net amount of positive or negative electric charge
358392	s	Synset('hot.s.20')	"['hot', 'live']"	1	charged or energized with electricity
358534	s	Synset('negative.s.08')	"['negative', 'electronegative', 'negatively_charged']"	1	having a negative charge
358678	s	Synset('positive.s.10')	"['positive', 'electropositive', 'positively_charged']"	1	having a positive charge
358820	s	Synset('polar.s.01')	['polar']	1	having a pair of equal and opposite charges
360650	a	Synset('chaste.a.01')	['chaste']	1	morally pure (especially not having experienced sexual intercourse)
361125	s	Synset('pure.s.07')	"['pure', 'vestal', 'virgin', 'virginal', 'virtuous']"	1	in a state of sexual virginity
361837	s	Synset('easy.s.10')	"['easy', 'light', 'loose', 'promiscuous', 'sluttish', 'wanton']"	1	casual and unrestrained in sexual behavior
362467	a	Synset('cheerful.a.01')	['cheerful']	1	being full of or promoting cheer; having or showing good spirits
