SYN ID	SYN POS	SYN	SYN TERMS	CONFIDENCE SCORE	GLOSS
185759	s	Synset('ready.s.02')	['ready']	-1.000	(of especially money) immediately available
191603	a	Synset('unaware.a.01')	['unaware', 'incognizant']	-1.000	(often followed by `of') not aware
194357	s	Synset('baleful.s.02')	['baleful', 'forbidding', 'menacing', 'minacious', 'minatory', 'ominous', 'sinister', 'threatening']	-1.000	threatening or foreshadowing evil or tragic developments
204491	a	Synset('forward.a.02')	['forward']	-1.000	used of temperament or behavior; lacking restraint or modesty
205033	s	Synset('bumptious.s.01')	['bumptious', 'self-assertive']	-1.000	offensively self-assertive
205295	s	Synset('fresh.s.12')	['fresh', 'impertinent', 'impudent', 'overbold', 'smart', 'saucy', 'sassy', 'wise']	-1.000	improperly forward or bold
212173	a	Synset('hairy.a.01')	['hairy', 'haired', 'hirsute']	-1.000	having or covered with hair
215344	s	Synset('shock-headed.s.01')	['shock-headed']	-1.000	having a shock (or untidy mass) of hair
220956	a	Synset('ugly.a.01')	['ugly']	-1.000	displeasing to the senses
221318	s	Synset('disfigured.s.01')	['disfigured']	-1.000	having the appearance spoiled
221469	s	Synset('evil-looking.s.01')	['evil-looking']	-1.000	having an evil appearance
221553	s	Synset('fugly.s.01')	['fugly']	-1.000	(slang) extremely ugly
221627	s	Synset('grotesque.s.01')	['grotesque', 'monstrous']	-1.000	distorted and unnatural in shape or size; abnormal and hideous
221934	s	Synset('hideous.s.02')	['hideous', 'repulsive']	-1.000	so extremely ugly as to be terrifying
222147	s	Synset('ill-favored.s.01')	['ill-favored', 'ill-favoured']	-1.000	usually used of a face
222272	s	Synset('scrofulous.s.03')	['scrofulous']	-1.000	having a diseased appearance resembling scrofula
222449	s	Synset('unlovely.s.01')	['unlovely', 'unpicturesque']	-1.000	without beauty or charm
222543	s	Synset('unsightly.s.01')	['unsightly']	-1.000	unpleasant to look at
224166	a	Synset('maleficent.a.01')	['maleficent']	-1.000	harmful or evil in intent or effect
224366	s	Synset('baleful.s.01')	['baleful', 'baneful']	-1.000	deadly or sinister
227003	a	Synset('malign.a.01')	['malign']	-1.000	evil or harmful in nature or influence
229630	a	Synset('worst.a.01')	['worst']	-0.333	(superlative of `bad') most wanting in quality or value or condition
229978	s	Synset('bottom.s.02')	['bottom']	-1.000	the lowest rank
230076	s	Synset('last.s.09')	['last', 'last-place', 'lowest']	-1.000	lowest in rank or importance
230208	s	Synset('pessimal.s.01')	['pessimal', 'pessimum']	-0.333	of an organism's environment; least favorable for survival
231252	a	Synset('worse.a.01')	['worse']	-1.000	(comparative of `bad') inferior to another in quality or condition or desirability
231591	s	Synset('worsened.s.02')	['worsened']	-1.000	made or become worse; impaired
242575	s	Synset('colored.s.02')	['colored', 'coloured', 'dark', 'dark-skinned', 'non-white']	-1.000	having skin rich in melanin pigments
249721	a	Synset('bold.a.01')	['bold']	-1.000	fearless and daring
250739	s	Synset('foolhardy.s.01')	['foolhardy', 'heady', 'rash', 'reckless']	-1.000	marked by defiant disregard for danger or consequences
251809	a	Synset('timid.a.01')	['timid']	-1.000	showing fear and lack of confidence
252498	s	Synset('fearful.s.05')	['fearful', 'timorous', 'trepid']	-1.000	timid by nature or revealing timidity
256453	a	Synset('untangled.a.01')	['untangled']	-1.000	not tangled
256538	s	Synset('disentangled.s.01')	['disentangled', 'loosened', 'unsnarled']	-1.000	straightened out
264776	a	Synset('cowardly.a.01')	['cowardly', 'fearful']	-1.000	lacking courage; ignobly timid and faint-hearted
283703	a	Synset('dull.a.02')	['dull']	-1.000	emitting or reflecting very little light
283972	s	Synset('flat.s.14')	['flat', 'mat', 'matt', 'matte', 'matted']	-1.000	not reflecting light; not glossy
284194	s	Synset('lackluster.s.02')	['lackluster', 'lacklustre', 'lusterless', 'lustreless']	-1.000	lacking luster or shine
284400	s	Synset('soft.s.19')	['soft', 'subdued']	-1.000	not brilliant or glaring
286578	a	Synset('broad-minded.a.02')	['broad-minded']	-1.000	inclined to respect views and beliefs that differ from your own
287275	s	Synset('free-thinking.s.01')	['free-thinking', 'latitudinarian', 'undogmatic', 'undogmatical']	-1.000	unwilling to accept authority or dogma (especially in religion)
289082	a	Synset('broken.a.01')	['broken']	-1.000	physically and forcibly separated into pieces or cracked or split
289983	a	Synset('broken.a.02')	['broken']	-0.333	not continuous in space, time, or sequence or varying abruptly
290337	s	Synset('broken-field.s.01')	['broken-field']	-1.000	varying in direction suddenly and frequently
290483	s	Synset('dashed.s.01')	['dashed', 'dotted']	-1.000	having gaps or spaces
290593	s	Synset('fitful.s.02')	['fitful', 'interrupted', 'off-and-on']	-1.000	intermittently stopping and starting
292298	a	Synset('fraternal.a.02')	['fraternal', 'biovular']	-1.000	(of twins) derived from two separate fertilized ova
292937	a	Synset('busy.a.01')	['busy']	-1.000	actively or fully engaged or occupied
293376	s	Synset('drudging.s.01')	['drudging', 'laboring', 'labouring', 'toiling']	-1.000	doing arduous or unpleasant work
294175	a	Synset('idle.a.01')	['idle']	-1.000	not in action or at work
298767	a	Synset('cacophonous.a.01')	['cacophonous', 'cacophonic']	-1.000	having an unpleasant sound
299144	s	Synset('cackly.s.01')	['cackly', 'squawky']	-1.000	like the cackles or squawks a hen makes especially after laying an egg
299313	s	Synset('croaky.s.01')	['croaky', 'guttural']	-1.000	like the sounds of frogs and crows
299476	s	Synset('grating.s.01')	['grating', 'gravelly', 'rasping', 'raspy', 'rough', 'scratchy']	-1.000	unpleasantly harsh or grating in sound
299690	s	Synset('gruff.s.02')	['gruff', 'hoarse', 'husky']	-1.000	deep and harsh sounding as if from shouting or illness or emotion
300007	s	Synset('jangling.s.01')	['jangling', 'jangly']	-1.000	like the discordant ringing of nonmusical metallic objects striking together
300196	s	Synset('jarring.s.01')	['jarring']	-1.000	making or causing a harsh and irritating sound
300359	s	Synset('raucous.s.01')	['raucous', 'strident']	-0.333	unpleasantly loud and harsh
300469	s	Synset('rending.s.01')	['rending', 'ripping', 'splitting']	-1.000	resembling a sound of violent tearing as of something ripped apart or lightning splitting a tree
303727	a	Synset('stormy.a.01')	['stormy']	-1.000	(especially of weather) affected or characterized by storms or commotion
304670	s	Synset('blustering.s.01')	['blustering', 'blusterous', 'blustery']	-1.000	blowing in violent and abrupt bursts
306314	a	Synset('capable.a.01')	['capable']	-0.333	(usually followed by `of') having capacity or ability
306663	s	Synset('able.s.03')	['able']	-1.000	having inherent physical or mental ability or capacity
306909	s	Synset('confident.s.03')	['confident', 'surefooted', 'sure-footed']	-1.000	not liable to error in judgment or action
307182	s	Synset('resourceful.s.01')	['resourceful']	-1.000	having inner resources; adroit or imaginative
308015	a	Synset('capable.a.03')	['capable']	-1.000	(followed by `of') having the temperament or inclination for
309620	s	Synset('blow-by-blow.s.01')	['blow-by-blow']	-1.000	providing great detail
309740	s	Synset('certain.s.07')	['certain', 'sure']	-1.000	exercising or taking care great enough to bring assurance
310138	s	Synset('conscientious.s.01')	['conscientious', 'painstaking', 'scrupulous']	-1.000	characterized by extreme care and great effort
310433	s	Synset('detailed.s.01')	['detailed', 'elaborate', 'elaborated']	-1.000	developed or executed with care and in minute detail
310716	s	Synset('minute.s.02')	['minute', 'narrow']	-1.000	characterized by painstaking care and detailed examination
310943	s	Synset('overcareful.s.01')	['overcareful', 'too-careful']	-1.000	excessively or unduly careful
311187	s	Synset('protective.s.03')	['protective']	-1.000	(usually followed by `of') solicitously caring or mindful
311354	s	Synset('studious.s.01')	['studious']	-1.000	marked by care and effort
311505	s	Synset('thorough.s.01')	['thorough']	-1.000	painstakingly careful and accurate
311663	a	Synset('careless.a.01')	['careless']	-1.000	marked by lack of attention or consideration or forethought or thoroughness; not careful
312234	s	Synset('casual.s.05')	['casual', 'cursory', 'passing', 'perfunctory']	-1.000	hasty and without attention to detail; not thorough
329034	s	Synset('compartmental.s.01')	['compartmental', 'compartmentalized', 'compartmentalised']	-1.000	divided up into compartments or categories
341405	a	Synset('uncertain.a.04')	['uncertain']	-1.000	not certain to occur; not inevitable
350069	a	Synset('modifiable.a.01')	['modifiable']	-1.000	capable of being modified in form or character or strength (especially by making less extreme)
352127	a	Synset('altered.a.01')	['altered']	-1.000	changed in form or character without becoming something else
352877	s	Synset('emended.s.01')	['emended', 'edited']	-1.000	improved or corrected by critical editing
358951	a	Synset('uncharged.a.01')	['uncharged']	-1.000	of a particle or body or system; having no charge
359160	s	Synset('neutral.s.07')	['neutral', 'electroneutral']	-1.000	having no net electric charge
359260	s	Synset('dead.s.16')	['dead', 'drained']	-1.000	drained of electric charge; discharged
359862	a	Synset('uncharitable.a.01')	['uncharitable']	-1.000	lacking love and generosity
364479	a	Synset('depressing.a.01')	['depressing', 'cheerless', 'uncheerful']	-1.000	causing sad feelings of gloom and inadequacy
381097	s	Synset('red.s.01')	['red', 'reddish', 'ruddy', 'blood-red', 'carmine', 'cerise', 'cherry', 'cherry-red', 'crimson', 'ruby', 'ruby-red', 'scarlet']	-1.000	of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies
393852	a	Synset('unsaturated.a.03')	['unsaturated']	-1.000	(of color) not chromatically pure; diluted
393992	s	Synset('dull.s.05')	['dull']	-1.000	(of color) very low in saturation; highly diluted
408031	a	Synset('colorless.a.01')	['colorless', 'colourless']	-1.000	lacking in variety and interest
415228	a	Synset('classified.a.02')	['classified']	-1.000	official classification of information or documents; withheld from general circulation
416045	s	Synset('secret.s.11')	['secret']	-1.000	the next to highest level of official classification for documents
419289	a	Synset('dirty.a.01')	['dirty', 'soiled', 'unclean']	-1.000	soiled or likely to soil with dirt or grime
421590	s	Synset('filthy.s.01')	['filthy', 'foul', 'nasty']	-1.000	disgustingly dirty; filled or smeared with offensive matter
424787	s	Synset('bawdy.s.01')	['bawdy', 'off-color', 'ribald']	-1.000	humorously vulgar
425002	s	Synset('blasphemous.s.02')	['blasphemous', 'blue', 'profane']	-1.000	characterized by profanity or cursing
431447	a	Synset('clear.a.04')	['clear']	-1.000	allowing light to pass through
432453	s	Synset('liquid.s.03')	['liquid', 'limpid']	-1.000	clear and bright
433115	a	Synset('opaque.a.01')	['opaque']	-1.000	not transmitting or reflecting light or radiant energy; impenetrable to sight
434597	s	Synset('solid.s.10')	['solid']	-1.000	impenetrable for the eye
439588	a	Synset('stupid.a.01')	['stupid']	-1.000	lacking or marked by lack of intellectual acuity
439905	s	Synset('anserine.s.02')	['anserine', 'dopy', 'dopey', 'foolish', 'goosey', 'goosy', 'gooselike', 'jerky']	-1.000	having or revealing stupidity
440292	s	Synset('blockheaded.s.01')	['blockheaded', 'boneheaded', 'duncical', 'duncish', 'fatheaded', 'loggerheaded', 'thick', 'thickheaded', 'thick-skulled', 'wooden-headed']	-1.000	(used informally) stupid
440489	s	Synset('cloddish.s.01')	['cloddish', 'doltish']	-1.000	heavy and dull and stupid
441154	s	Synset('gaumless.s.01')	['gaumless', 'gormless']	-1.000	(British informal) lacking intelligence and vitality
441272	s	Synset('lumpish.s.01')	['lumpish', 'lumpen', 'unthinking']	-1.000	mentally sluggish
441365	s	Synset('nitwitted.s.01')	['nitwitted', 'senseless', 'soft-witted', 'witless']	-1.000	(of especially persons) lacking sense or understanding or judgment
441523	s	Synset('weak.s.12')	['weak']	-1.000	deficient in intelligence or mental power
441630	s	Synset('yokel-like.s.01')	['yokel-like']	-1.000	stupid and ignorant like proverbial rural inhabitants
442361	a	Synset('far.a.01')	['far']	-1.000	located at a great distance in time or space or degree
443075	s	Synset('distant.s.04')	['distant', 'remote', 'removed']	-1.000	separate or apart in time
445548	a	Synset('distant.a.01')	['distant']	-1.000	separated in space or coming from or going to a distance
446107	s	Synset('extreme.s.04')	['extreme']	-1.000	most distant in any direction
461311	a	Synset('cloudy.a.02')	['cloudy']	-1.000	full of or covered with clouds
462249	s	Synset('dull.s.12')	['dull', 'leaden']	-1.000	darkened with overcast
467913	a	Synset('distributive.a.01')	['distributive']	-1.000	serving to distribute or allot or disperse
478015	a	Synset('uncomfortable.a.02')	['uncomfortable']	-1.000	providing or experiencing physical discomfort
478311	s	Synset('bad.s.03')	['bad', 'tough']	-1.000	feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad')
478872	s	Synset('miserable.s.05')	['miserable', 'wretched']	-1.000	characterized by physical misery
479073	s	Synset('uneasy.s.05')	['uneasy']	-1.000	relating to bodily unease that causes discomfort
479933	a	Synset('uncomfortable.a.01')	['uncomfortable']	-0.333	conducive to or feeling mental discomfort
481855	a	Synset('incommensurate.a.01')	['incommensurate']	-1.000	not corresponding in size or degree or extent
482059	s	Synset('disproportionate.s.02')	['disproportionate']	-1.000	not proportionate
482139	s	Synset('incommensurable.s.02')	['incommensurable']	-1.000	not having a common factor
483048	a	Synset('disproportionate.a.01')	['disproportionate', 'disproportional']	-1.000	out of proportion
493460	a	Synset('individual.a.01')	['individual', 'single']	-1.000	being or characteristic of a single thing or person
494622	s	Synset('singular.s.03')	['singular']	-1.000	being a single and separate person or thing
497148	s	Synset('expressive.s.01')	['expressive']	-1.000	characterized by expression
511214	a	Synset('incompetent.a.02')	['incompetent']	-1.000	not qualified or suited for a purpose
514175	s	Synset('protestant.s.02')	['protestant']	-1.000	protesting
516539	a	Synset('fractional.a.01')	['fractional']	-1.000	constituting or comprising a part or fraction of a possible whole or entirety
517314	s	Synset('fragmental.s.01')	['fragmental', 'fragmentary']	-1.000	consisting of small disconnected parts
520892	s	Synset('absolute.s.02')	['absolute', 'downright', 'out-and-out', 'rank', 'right-down', 'sheer']	-1.000	complete and without restriction or qualification; sometimes used informally as intensifiers
521329	s	Synset('accomplished.s.02')	['accomplished', 'completed', 'realized', 'realised']	-1.000	successfully completed or brought to an end
521584	s	Synset('all.s.02')	['all']	-1.000	completely given to or absorbed by
521692	s	Synset('all-or-none.s.01')	['all-or-none', 'all-or-nothing']	-1.000	occurring completely or not occurring at all
521811	s	Synset('all-out.s.01')	['all-out', 'full-scale']	-1.000	using all available resources
521976	s	Synset('allover.s.01')	['allover']	-1.000	covering the entire surface
522101	s	Synset('clean.s.15')	['clean']	-1.000	thorough and without qualification
522240	s	Synset('completed.s.03')	['completed']	-1.000	caught
522349	s	Synset('dead.s.15')	['dead', 'utter']	-1.000	complete
522463	s	Synset('exhaustive.s.01')	['exhaustive', 'thorough', 'thoroughgoing']	-1.000	performed comprehensively and completely
522680	s	Synset('fleshed_out.s.01')	['fleshed_out', 'full-clad']	-1.000	given substance or detail; completed
523068	s	Synset('full-blown.s.02')	['full-blown']	-1.000	having or displaying all the characteristics necessary for completeness
523229	s	Synset('full-dress.s.03')	['full-dress']	-1.000	complete in every respect
523479	s	Synset('hearty.s.05')	['hearty']	-1.000	without reservation
523587	s	Synset('self-contained.s.01')	['self-contained']	-1.000	constituting a complete and independent unit in and of itself
523786	s	Synset('sound.s.09')	['sound']	-1.000	thorough
523867	s	Synset('stand-alone.s.01')	['stand-alone']	-1.000	capable of operating independently
531342	a	Synset('discomposed.a.01')	['discomposed']	-1.000	having your composure disturbed
531628	s	Synset('abashed.s.01')	['abashed', 'chagrined', 'embarrassed']	-1.000	feeling or caused to feel uneasy and self-conscious
531887	s	Synset('blushful.s.01')	['blushful', 'blushing', 'red-faced']	-1.000	having a red face from embarrassment or shame or agitation or emotional upset
532147	s	Synset('bothered.s.01')	['bothered', 'daunted', 'fazed']	-1.000	caused to show discomposure
532288	s	Synset('discombobulated.s.01')	['discombobulated', 'disconcerted']	-1.000	having self-possession upset; thrown into confusion
532560	s	Synset('flustered.s.01')	['flustered', 'hot_and_bothered', 'perturbed', 'rattled']	-1.000	thrown into a state of agitated confusion; (`rattled' is an informal term)
532753	s	Synset('unstrung.s.01')	['unstrung']	-1.000	emotionally upset
539793	a	Synset('distributed.a.01')	['distributed']	-0.333	spread out or scattered about or divided up
540366	s	Synset('broken.s.12')	['broken']	-1.000	discontinuous
542099	s	Synset('scattered.s.01')	['scattered']	-1.000	occurring or distributed over widely spaced and irregular intervals in time or space
543993	s	Synset('afraid.s.02')	['afraid']	-1.000	filled with regret or concern; used often to soften an unpleasant statement
545015	a	Synset('unconcerned.a.01')	['unconcerned']	-1.000	lacking in interest or care or feeling
545746	s	Synset('casual.s.01')	['casual', 'insouciant', 'nonchalant']	-1.000	marked by blithe unconcern
546452	s	Synset('indifferent.s.02')	['indifferent']	-1.000	showing no care or concern in attitude or action
556709	a	Synset('unconditional.a.01')	['unconditional', 'unconditioned']	-1.000	not conditional
559271	s	Synset('weather-bound.s.01')	['weather-bound']	-1.000	delayed or shut in by bad weather
561036	a	Synset('uncongenial.a.01')	['uncongenial', 'incompatible']	-0.333	not suitable to your tastes or needs
561359	s	Synset('disagreeable.s.03')	['disagreeable', 'unsympathetic']	-1.000	not agreeing with your tastes or expectations
567593	a	Synset('unconnected.a.01')	['unconnected']	-1.000	not joined or linked together
567860	s	Synset('apart.s.01')	['apart', 'isolated', 'obscure']	-1.000	remote and separate physically or socially
568171	s	Synset('asternal.s.01')	['asternal']	-1.000	not connected to the sternum or breastbone
568304	s	Synset('detached.s.03')	['detached', 'separated']	-1.000	no longer connected or joined
568541	s	Synset('disjoined.s.01')	['disjoined', 'separate']	-1.000	have the connection undone; having become separate
568658	s	Synset('exploded.s.01')	['exploded']	-1.000	showing the parts of something separated but in positions that show their correct relation to one another
568881	s	Synset('unattached.s.01')	['unattached']	-1.000	not fastened together
568959	s	Synset('uncoupled.s.01')	['uncoupled']	-1.000	having the coupling undone
571643	a	Synset('unconscious.a.01')	['unconscious']	-0.333	not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead
572534	s	Synset('insensible.s.04')	['insensible', 'senseless']	-1.000	unresponsive to stimulation
579084	a	Synset('conspicuous.a.01')	['conspicuous']	-1.000	obvious to the eye or mind
580039	s	Synset('crying.s.02')	['crying', 'egregious', 'flagrant', 'glaring', 'gross', 'rank']	-1.000	conspicuously and outrageously bad or reprehensible
589624	a	Synset('discontented.a.01')	['discontented', 'discontent']	-1.000	showing or experiencing dissatisfaction or restless longing
589960	s	Synset('disaffected.s.01')	['disaffected', 'ill-affected', 'malcontent', 'rebellious']	-1.000	discontented as toward authority
590163	s	Synset('disgruntled.s.01')	['disgruntled', 'dissatisfied']	-1.000	in a state of sulky dissatisfaction
590271	s	Synset('restless.s.01')	['restless', 'ungratified', 'unsatisfied']	-1.000	worried and uneasy
593374	a	Synset('sporadic.a.01')	['sporadic']	-1.000	recurring in scattered and irregular or unpredictable instances
593664	s	Synset('fitful.s.01')	['fitful', 'spasmodic']	-1.000	occurring in spells and often abruptly
594004	s	Synset('periodic.s.02')	['periodic', 'occasional']	-1.000	recurring or reappearing from time to time
594146	s	Synset('irregular.s.02')	['irregular', 'unpredictable']	-1.000	not occurring at expected times
594267	s	Synset('isolated.s.01')	['isolated', 'stray']	-1.000	not close together in time
596769	a	Synset('discontinuous.a.02')	['discontinuous', 'noncontinuous']	-1.000	not continuing without interruption in time or space
597148	s	Synset('disrupted.s.01')	['disrupted']	-1.000	marked by breaks or gaps
597267	s	Synset('disjunct.s.04')	['disjunct']	-1.000	used of distributions, as of statistical or natural populations
597599	a	Synset('discontinuous.a.01')	['discontinuous']	-1.000	of a function or curve; possessing one or more discontinuities
598203	a	Synset('discontinued.a.01')	['discontinued']	-1.000	stopped permanently or temporarily
598413	s	Synset('interrupted.s.01')	['interrupted']	-1.000	discontinued temporarily
598536	s	Synset('out_of_print.s.01')	['out_of_print']	-1.000	(of books) no longer offered for sale by a publisher
601499	s	Synset('undisciplined.s.03')	['undisciplined', 'ungoverned']	-1.000	lacking in discipline or control
606602	a	Synset('unconventional.a.01')	['unconventional']	-1.000	not conforming to accepted rules or standards
607202	s	Synset('irregular.s.09')	['irregular', 'maverick', 'unorthodox']	-1.000	independent in behavior or thought
614990	a	Synset('convincing.a.01')	['convincing']	-1.000	causing one to believe the truth of something
615343	s	Synset('disenchanting.s.01')	['disenchanting', 'disillusioning']	-1.000	freeing from illusion or false belief
620585	a	Synset('uncooperative.a.01')	['uncooperative']	-1.000	unwilling to cooperate
620731	a	Synset('corrupt.a.01')	['corrupt']	-0.200	lacking in integrity
621207	s	Synset('corruptible.s.01')	['corruptible', 'bribable', 'dishonest', 'purchasable', 'venal']	-1.000	capable of being corrupted
621857	s	Synset('dirty.s.11')	['dirty', 'sordid']	-1.000	unethical or dishonest
625774	a	Synset('insubstantial.a.01')	['insubstantial', 'unsubstantial', 'unreal']	-1.000	lacking material form or substance; unreal
629146	a	Synset('unbodied.a.01')	['unbodied']	-1.000	having no body
630802	a	Synset('incorporeal.a.01')	['incorporeal', 'immaterial']	-1.000	without material form or substance
631040	s	Synset('discorporate.s.01')	['discorporate', 'unembodied', 'bodiless', 'unbodied', 'disembodied']	-1.000	not having a material body
631193	s	Synset('spiritual.s.03')	['spiritual']	-1.000	lacking material body or form or substance
